TP,FP,TN,FN,precision,recall,f1_score,accuracy,false_positive_rate,false_negative_rate,specificity,contamination,repeat,timestamp
17,0,271,42,1.0,0.288135593220339,0.4473684210526315,0.8727272727272727,0.0,0.711864406779661,1.0,0.05,1,1774612999
17,0,271,42,1.0,0.288135593220339,0.4473684210526315,0.8727272727272727,0.0,0.711864406779661,1.0,0.05,2,1774613002
17,0,271,42,1.0,0.288135593220339,0.4473684210526315,0.8727272727272727,0.0,0.711864406779661,1.0,0.05,3,1774613005
17,0,271,42,1.0,0.288135593220339,0.4473684210526315,0.8727272727272727,0.0,0.711864406779661,1.0,0.05,4,1774613008
17,0,271,42,1.0,0.288135593220339,0.4473684210526315,0.8727272727272727,0.0,0.711864406779661,1.0,0.05,5,1774613011
27,6,265,32,0.8181818181818182,0.4576271186440678,0.5869565217391305,0.8848484848484849,0.02214022140221402,0.5423728813559322,0.977859778597786,0.1,1,1774613014
27,6,265,32,0.8181818181818182,0.4576271186440678,0.5869565217391305,0.8848484848484849,0.02214022140221402,0.5423728813559322,0.977859778597786,0.1,2,1774613017
27,6,265,32,0.8181818181818182,0.4576271186440678,0.5869565217391305,0.8848484848484849,0.02214022140221402,0.5423728813559322,0.977859778597786,0.1,3,1774613020
27,6,265,32,0.8181818181818182,0.4576271186440678,0.5869565217391305,0.8848484848484849,0.02214022140221402,0.5423728813559322,0.977859778597786,0.1,4,1774613023
27,6,265,32,0.8181818181818182,0.4576271186440678,0.5869565217391305,0.8848484848484849,0.02214022140221402,0.5423728813559322,0.977859778597786,0.1,5,1774613026
43,23,248,16,0.6515151515151515,0.7288135593220338,0.688,0.8818181818181818,0.08487084870848709,0.2711864406779661,0.915129151291513,0.2,1,1774613029
43,23,248,16,0.6515151515151515,0.7288135593220338,0.688,0.8818181818181818,0.08487084870848709,0.2711864406779661,0.915129151291513,0.2,2,1774613032
43,23,248,16,0.6515151515151515,0.7288135593220338,0.688,0.8818181818181818,0.08487084870848709,0.2711864406779661,0.915129151291513,0.2,3,1774613035
43,23,248,16,0.6515151515151515,0.7288135593220338,0.688,0.8818181818181818,0.08487084870848709,0.2711864406779661,0.915129151291513,0.2,4,1774613038
43,23,248,16,0.6515151515151515,0.7288135593220338,0.688,0.8818181818181818,0.08487084870848709,0.2711864406779661,0.915129151291513,0.2,5,1774613041
